[babysit] all scripts attempted
[babysit] total elapsed: 61826s

script                                                        state   exit_code  start_iso                  end_iso                    elapsed_s
wanda_with_pgd_v1_after_sae_gemma-2-9b-it_biology_mini.sh     done    0          2026-05-01T01:45:09-04:00  2026-05-01T02:02:48-04:00  1058
wanda_with_pgd_v1_after_sae_gemma-2-9b-it_chemistry_mini.sh   done    0          2026-05-01T02:02:48-04:00  2026-05-01T02:15:58-04:00  790
wanda_with_pgd_v1_after_sae_gemma-2-9b-it_math_mini.sh        done    0          2026-05-01T02:15:58-04:00  2026-05-01T02:30:13-04:00  855
wanda_with_pgd_v1_after_sae_gemma-2-9b-it_physics_mini.sh     done    0          2026-05-01T02:30:13-04:00  2026-05-01T02:52:35-04:00  1342
wanda_with_pgd_v1_after_sae_gemma-3-12b-it_biology_mini.sh    failed  1          2026-05-01T02:52:35-04:00  2026-05-01T02:55:23-04:00  168
wanda_with_pgd_v1_after_sae_gemma-3-12b-it_chemistry_mini.sh  failed  1          2026-05-01T02:55:23-04:00  2026-05-01T02:58:47-04:00  204
wanda_with_pgd_v1_after_sae_gemma-3-12b-it_math_mini.sh       failed  1          2026-05-01T02:58:47-04:00  2026-05-01T03:01:23-04:00  156
wanda_with_pgd_v1_after_sae_gemma-3-12b-it_physics_mini.sh    failed  1          2026-05-01T03:01:23-04:00  2026-05-01T03:04:14-04:00  171
wanda_with_pgd_v1_after_sae_gemma-2-9b-it_biology_full.sh     done    0          2026-05-01T03:04:14-04:00  2026-05-01T06:33:46-04:00  12572
wanda_with_pgd_v1_after_sae_gemma-2-9b-it_chemistry_full.sh   done    0          2026-05-01T06:33:46-04:00  2026-05-01T10:44:58-04:00  15072
wanda_with_pgd_v1_after_sae_gemma-2-9b-it_math_full.sh        done    0          2026-05-01T10:44:58-04:00  2026-05-01T15:13:59-04:00  16141
wanda_with_pgd_v1_after_sae_gemma-2-9b-it_physics_full.sh     failed  137        2026-05-01T15:13:59-04:00  2026-05-01T18:51:00-04:00  13021
wanda_with_pgd_v1_after_sae_gemma-3-12b-it_biology_full.sh    failed  137        2026-05-01T18:51:00-04:00  2026-05-01T18:54:19-04:00  199
wanda_with_pgd_v1_after_sae_gemma-3-12b-it_chemistry_full.sh  failed  137        2026-05-01T18:54:19-04:00  2026-05-01T18:54:38-04:00  19
wanda_with_pgd_v1_after_sae_gemma-3-12b-it_math_full.sh       failed  137        2026-05-01T18:54:38-04:00  2026-05-01T18:55:21-04:00  43
wanda_with_pgd_v1_after_sae_gemma-3-12b-it_physics_full.sh    failed  137        2026-05-01T18:55:21-04:00  2026-05-01T18:55:35-04:00  14
